registered,frequency,monetary
0,24,35
1,201,294
2,245,648
3,294,1154
4,307,1602
5,287,1840
6,266,1992
7,200,1787
8,190,1968
9,178,2057
10,133,1651
11,140,1927
12,90,1350
13,93,1487
14,101,1692
15,95,1692
16,92,1795
17,85,1751
18,80,1819
19,106,2433
20,95,2240
21,81,2084
22,105,2781
23,90,2551
24,83,2300
25,77,2317
26,83,2589
27,68,2151
28,73,2370
29,71,2416
30,75,2746
31,70,2540
32,63,2344
33,66,2629
34,65,2524
35,59,2382
36,57,2350
37,58,2560
38,54,2493
39,67,3073
40,59,2712
41,52,2641
42,51,2545
43,65,3358
44,48,2444
45,48,2593
46,56,3138
47,52,2883
48,68,3919
49,69,3936
50,58,3456
51,53,3291
52,50,3131
53,71,4475
54,53,3485
55,60,3967
56,48,3282
57,51,3383
58,49,3401
59,53,3680
60,47,3305
61,52,3700
62,52,3874
63,48,3564
64,70,5511
65,48,3840
66,48,4005
67,49,3864
68,52,4249
69,43,3474
70,48,4051
71,56,4842
72,54,4585
73,51,4596
74,43,3797
75,44,3896
76,49,4388
77,45,4518
78,44,4055
79,59,5651
80,58,5599
81,52,5265
82,50,5080
83,59,5857
84,43,4393
85,50,5511
86,60,6370
87,43,4466
88,64,6954
89,46,5153
90,45,4922
91,40,4428
92,50,5723
93,49,5983
94,52,6099
95,75,8873
96,48,6027
97,53,6380
98,52,6201
99,58,6916
100,53,6515
101,47,5746
102,59,7186
103,51,6647
104,67,8789
105,49,6170
106,48,6313
107,56,7413
108,61,7958
109,43,5922
110,53,7214
111,61,8537
112,60,8212
113,36,5033
114,58,8506
115,59,8267
116,56,7971
117,42,6262
118,48,7303
119,56,8117
120,50,7575
121,50,7485
122,42,6395
123,45,6908
124,44,6706
125,39,6355
126,55,8652
127,61,9916
128,50,7954
129,42,7097
130,57,9361
131,35,5734
132,44,7173
133,42,7156
134,53,8773
135,43,7039
136,43,7508
137,51,9157
138,41,7048
139,55,9544
140,35,6200
141,48,8787
142,54,9688
143,39,7228
144,54,9763
145,42,7608
146,45,8413
147,45,8197
148,49,9237
149,42,8082
